time;work;work cumulative
1824;0.0;1.6208E9
1825;1600000.0;1.6224E9
1826;0.0;1.6224E9
1827;1600000.0;1.624E9
1828;1596800.0;1.6255968E9
1829;3200.0;1.6256E9
1830;1600000.0;1.6272E9
1831;0.0;1.6272E9
1832;1600000.0;1.6288E9
1833;0.0;1.6288E9
1834;1600000.0;1.6304E9
1835;0.0;1.6304E9
1836;1600000.0;1.632E9
1837;1596800.0;1.6335968E9
1838;3200.0;1.6336E9
1839;1600000.0;1.6352E9
1840;0.0;1.6352E9
1841;1600000.0;1.6368E9
1842;0.0;1.6368E9
1843;1600000.0;1.6384E9
1844;0.0;1.6384E9
1845;1600000.0;1.64E9
1846;1596800.0;1.6415968E9
1847;3200.0;1.6416E9
1848;1600000.0;1.6432E9
1849;0.0;1.6432E9
1850;1600000.0;1.6448E9
1851;0.0;1.6448E9
1852;1600000.0;1.6464E9
1853;0.0;1.6464E9
1854;1600000.0;1.648E9
1855;1596800.0;1.6495968E9
1856;3200.0;1.6496E9
1857;1600000.0;1.6512E9
1858;0.0;1.6512E9
1859;1600000.0;1.6528E9
1860;0.0;1.6528E9
1861;1600000.0;1.6544E9
1862;0.0;1.6544E9
1863;1600000.0;1.656E9
1864;1596800.0;1.6575968E9
1865;3200.0;1.6576E9
1866;1600000.0;1.6592E9
1867;0.0;1.6592E9
1868;1600000.0;1.6608E9
1869;0.0;1.6608E9
1870;1600000.0;1.6624E9
1871;0.0;1.6624E9
1872;1600000.0;1.664E9
1873;1596800.0;1.6655968E9
1874;3200.0;1.6656E9
1875;1600000.0;1.6672E9
1876;0.0;1.6672E9
1877;1600000.0;1.6688E9
1878;0.0;1.6688E9
1879;1600000.0;1.6704E9
1880;0.0;1.6704E9
1881;1600000.0;1.672E9
1882;1596800.0;1.6735968E9
1883;3200.0;1.6736E9
1884;1600000.0;1.6752E9
1885;0.0;1.6752E9
1886;1600000.0;1.6768E9
1887;0.0;1.6768E9
1888;1600000.0;1.6784E9
1889;0.0;1.6784E9
1890;1600000.0;1.68E9
1891;1596800.0;1.6815968E9
1892;3200.0;1.6816E9
1893;1600000.0;1.6832E9
1894;0.0;1.6832E9
1895;1600000.0;1.6848E9
1896;0.0;1.6848E9
1897;1600000.0;1.6864E9
1898;0.0;1.6864E9
1899;1600000.0;1.688E9
1900;1596800.0;1.6895968E9
1901;3200.0;1.6896E9
1902;1600000.0;1.6912E9
1903;0.0;1.6912E9
1904;1600000.0;1.6928E9
1905;0.0;1.6928E9
1906;1600000.0;1.6944E9
1907;0.0;1.6944E9
1908;1600000.0;1.696E9
1909;1596800.0;1.6975968E9
1910;3200.0;1.6976E9
1911;1600000.0;1.6992E9
1912;0.0;1.6992E9
1913;1600000.0;1.7008E9
1914;0.0;1.7008E9
1915;1600000.0;1.7024E9
1916;0.0;1.7024E9
1917;1600000.0;1.704E9
1918;1596800.0;1.7055968E9
1919;3200.0;1.7056E9
1920;1600000.0;1.7072E9
1921;0.0;1.7072E9
1922;1600000.0;1.7088E9
1923;0.0;1.7088E9
1924;1600000.0;1.7104E9
1925;0.0;1.7104E9
1926;1600000.0;1.712E9
1927;1596800.0;1.7135968E9
1928;3200.0;1.7136E9
1929;1600000.0;1.7152E9
1930;0.0;1.7152E9
1931;1600000.0;1.7168E9
1932;0.0;1.7168E9
1933;1600000.0;1.7184E9
1934;0.0;1.7184E9
1935;1600000.0;1.72E9
1936;1596800.0;1.7215968E9
1937;3200.0;1.7216E9
1938;1600000.0;1.7232E9
1939;0.0;1.7232E9
1940;1600000.0;1.7248E9
1941;0.0;1.7248E9
1942;1600000.0;1.7264E9
1943;0.0;1.7264E9
1944;1600000.0;1.728E9
1945;1596800.0;1.7295968E9
1946;3200.0;1.7296E9
1947;1600000.0;1.7312E9
1948;0.0;1.7312E9
1949;1600000.0;1.7328E9
1950;0.0;1.7328E9
1951;1600000.0;1.7344E9
1952;0.0;1.7344E9
1953;1600000.0;1.736E9
1954;1596800.0;1.7375968E9
1955;3200.0;1.7376E9
1956;1600000.0;1.7392E9
1957;0.0;1.7392E9
1958;1600000.0;1.7408E9
1959;0.0;1.7408E9
1960;1600000.0;1.7424E9
1961;0.0;1.7424E9
1962;1600000.0;1.744E9
1963;1596800.0;1.7455968E9
1964;3200.0;1.7456E9
1965;1600000.0;1.7472E9
1966;0.0;1.7472E9
1967;1600000.0;1.7488E9
1968;0.0;1.7488E9
1969;1600000.0;1.7504E9
1970;0.0;1.7504E9
1971;1600000.0;1.752E9
1972;1596800.0;1.7535968E9
1973;3200.0;1.7536E9
1974;1600000.0;1.7552E9
1975;0.0;1.7552E9
1976;1600000.0;1.7568E9
1977;0.0;1.7568E9
1978;1600000.0;1.7584E9
1979;0.0;1.7584E9
1980;1600000.0;1.76E9
1981;1596800.0;1.7615968E9
1982;3200.0;1.7616E9
1983;1600000.0;1.7632E9
1984;0.0;1.7632E9
1985;1600000.0;1.7648E9
1986;0.0;1.7648E9
1987;1600000.0;1.7664E9
1988;0.0;1.7664E9
1989;1600000.0;1.768E9
1990;1596800.0;1.7695968E9
1991;3200.0;1.7696E9
1992;1600000.0;1.7712E9
1993;0.0;1.7712E9
1994;1600000.0;1.7728E9
1995;0.0;1.7728E9
1996;1600000.0;1.7744E9
1997;0.0;1.7744E9
1998;1600000.0;1.776E9
1999;1596800.0;1.7775968E9
2000;3200.0;1.7776E9
2001;1600000.0;1.7792E9
2002;0.0;1.7792E9
2003;1600000.0;1.7808E9
2004;0.0;1.7808E9
2005;1600000.0;1.7824E9
2006;0.0;1.7824E9
2007;1600000.0;1.784E9
2008;1596800.0;1.7855968E9
2009;3200.0;1.7856E9
2010;1600000.0;1.7872E9
2011;0.0;1.7872E9
2012;1600000.0;1.7888E9
2013;0.0;1.7888E9
2014;1600000.0;1.7904E9
2015;0.0;1.7904E9
2016;1600000.0;1.792E9
2017;1596800.0;1.7935968E9
2018;3200.0;1.7936E9
2019;1600000.0;1.7952E9
2020;0.0;1.7952E9
2021;1600000.0;1.7968E9
2022;0.0;1.7968E9
2023;1600000.0;1.7984E9
2024;0.0;1.7984E9
2025;1600000.0;1.8E9
2026;1596800.0;1.8015968E9
2027;3200.0;1.8016E9
2028;1600000.0;1.8032E9
2029;0.0;1.8032E9
2030;1600000.0;1.8048E9
2031;0.0;1.8048E9
2032;1600000.0;1.8064E9
2033;0.0;1.8064E9
2034;1600000.0;1.808E9
2035;1596800.0;1.8095968E9
2036;3200.0;1.8096E9
2037;1600000.0;1.8112E9
2038;0.0;1.8112E9
2039;1600000.0;1.8128E9
2040;0.0;1.8128E9
2041;1600000.0;1.8144E9
2042;0.0;1.8144E9
2043;1600000.0;1.816E9
2044;1596800.0;1.8175968E9
2045;3200.0;1.8176E9
2046;1600000.0;1.8192E9
2047;0.0;1.8192E9
2048;1600000.0;1.8208E9
2049;0.0;1.8208E9
2050;1600000.0;1.8224E9
2051;0.0;1.8224E9
2052;1600000.0;1.824E9
2053;1596800.0;1.8255968E9
2054;3200.0;1.8256E9
2055;1600000.0;1.8272E9
2056;0.0;1.8272E9
2057;1600000.0;1.8288E9
2058;0.0;1.8288E9
2059;1600000.0;1.8304E9
2060;0.0;1.8304E9
2061;1600000.0;1.832E9
2062;1596800.0;1.8335968E9
2063;3200.0;1.8336E9
2064;1600000.0;1.8352E9
2065;0.0;1.8352E9
2066;1600000.0;1.8368E9
2067;0.0;1.8368E9
2068;1600000.0;1.8384E9
2069;0.0;1.8384E9
2070;1600000.0;1.84E9
2071;1596800.0;1.8415968E9
2072;3200.0;1.8416E9
2073;1600000.0;1.8432E9
2074;0.0;1.8432E9
2075;1600000.0;1.8448E9
2076;0.0;1.8448E9
2077;1600000.0;1.8464E9
2078;0.0;1.8464E9
2079;1600000.0;1.848E9
2080;1596800.0;1.8495968E9
2081;3200.0;1.8496E9
2082;1600000.0;1.8512E9
2083;0.0;1.8512E9
2084;1600000.0;1.8528E9
2085;0.0;1.8528E9
2086;1600000.0;1.8544E9
2087;0.0;1.8544E9
2088;1600000.0;1.856E9
2089;1596800.0;1.8575968E9
2090;3200.0;1.8576E9
2091;1600000.0;1.8592E9
2092;0.0;1.8592E9
2093;1600000.0;1.8608E9
2094;0.0;1.8608E9
2095;1600000.0;1.8624E9
2096;0.0;1.8624E9
2097;1600000.0;1.864E9
2098;1596800.0;1.8655968E9
2099;3200.0;1.8656E9
2100;1600000.0;1.8672E9
2101;0.0;1.8672E9
2102;1600000.0;1.8688E9
2103;0.0;1.8688E9
2104;1600000.0;1.8704E9
2105;0.0;1.8704E9
2106;1600000.0;1.872E9
2107;1596800.0;1.8735968E9
2108;3200.0;1.8736E9
2109;1600000.0;1.8752E9
2110;0.0;1.8752E9
2111;1600000.0;1.8768E9
2112;0.0;1.8768E9
2113;1600000.0;1.8784E9
2114;0.0;1.8784E9
2115;1600000.0;1.88E9
2116;1596800.0;1.8815968E9
2117;3200.0;1.8816E9
2118;1600000.0;1.8832E9
2119;0.0;1.8832E9
2120;1600000.0;1.8848E9
2121;0.0;1.8848E9
2122;1600000.0;1.8864E9
2123;0.0;1.8864E9
2124;1600000.0;1.888E9
2125;1596800.0;1.8895968E9
2126;3200.0;1.8896E9
2127;1600000.0;1.8912E9
2128;0.0;1.8912E9
2129;1600000.0;1.8928E9
2130;0.0;1.8928E9
2131;1600000.0;1.8944E9
2132;0.0;1.8944E9
2133;1600000.0;1.896E9
