time;energy
1415;471.46
1416;1200.0
1417;470.0
1418;1200.0
1419;470.0
1420;1200.0
1421;470.0
1422;1200.0
1423;1198.54
1424;471.46
1425;1200.0
1426;470.0
1427;1200.0
1428;470.0
1429;1200.0
1430;470.0
1431;1200.0
1432;1198.54
1433;471.46
1434;1200.0
1435;470.0
1436;1200.0
1437;470.0
1438;1200.0
1439;470.0
1440;1200.0
1441;1198.54
1442;471.46
1443;1200.0
1444;470.0
1445;1200.0
1446;470.0
1447;1200.0
1448;470.0
1449;1200.0
1450;1198.54
1451;471.46
1452;1200.0
1453;470.0
1454;1200.0
1455;470.0
1456;1200.0
1457;470.0
1458;1200.0
1459;1198.54
1460;471.46
1461;1200.0
1462;470.0
1463;1200.0
1464;470.0
1465;1200.0
1466;470.0
1467;1200.0
1468;1198.54
1469;471.46
1470;1200.0
1471;470.0
1472;1200.0
1473;470.0
1474;1200.0
1475;470.0
1476;1200.0
1477;1198.54
1478;471.46
1479;1200.0
1480;470.0
1481;1200.0
1482;470.0
1483;1200.0
1484;470.0
1485;1200.0
1486;1198.54
1487;471.46
1488;1200.0
1489;470.0
1490;1200.0
1491;470.0
1492;1200.0
1493;470.0
1494;1200.0
1495;1198.54
1496;471.46
1497;1200.0
1498;470.0
1499;1200.0
1500;470.0
1501;1200.0
1502;470.0
1503;1200.0
1504;1198.54
1505;471.46
1506;1200.0
1507;470.0
1508;1200.0
1509;470.0
1510;1200.0
1511;470.0
1512;1200.0
1513;1198.54
1514;471.46
1515;1200.0
1516;470.0
1517;1200.0
1518;470.0
1519;1200.0
1520;470.0
1521;1200.0
1522;1198.54
1523;471.46
1524;1200.0
1525;470.0
1526;1200.0
1527;470.0
1528;1200.0
1529;470.0
1530;1200.0
1531;1198.54
1532;471.46
1533;1200.0
1534;470.0
1535;1200.0
1536;470.0
1537;1200.0
1538;470.0
1539;1200.0
1540;1198.54
1541;471.46
1542;1200.0
1543;470.0
1544;1200.0
1545;470.0
1546;1200.0
1547;470.0
1548;1200.0
1549;1198.54
1550;471.46
1551;1200.0
1552;470.0
1553;1200.0
1554;470.0
1555;1200.0
1556;470.0
1557;1200.0
1558;1198.54
1559;471.46
1560;1200.0
1561;470.0
1562;1200.0
1563;470.0
1564;1200.0
1565;470.0
1566;1200.0
1567;1198.54
1568;471.46
1569;1200.0
1570;470.0
1571;1200.0
1572;470.0
1573;1200.0
1574;470.0
1575;1200.0
1576;1198.54
1577;471.46
1578;1200.0
1579;470.0
1580;1200.0
1581;470.0
1582;1200.0
1583;470.0
1584;1200.0
1585;1198.54
1586;471.46
1587;1200.0
1588;470.0
1589;1200.0
1590;470.0
1591;1200.0
1592;470.0
1593;1200.0
1594;1198.54
1595;471.46
1596;1200.0
1597;470.0
1598;1200.0
1599;470.0
1600;1200.0
1601;470.0
1602;1200.0
1603;1198.54
1604;471.46
1605;1200.0
1606;470.0
1607;1200.0
1608;470.0
1609;1200.0
1610;470.0
1611;1200.0
1612;1198.54
1613;471.46
1614;1200.0
1615;470.0
1616;1200.0
1617;470.0
1618;1200.0
1619;470.0
1620;1200.0
1621;1198.54
1622;471.46
1623;1200.0
1624;470.0
1625;1200.0
1626;470.0
1627;1200.0
1628;470.0
1629;1200.0
1630;1198.54
1631;471.46
1632;1200.0
1633;470.0
1634;1200.0
1635;470.0
1636;1200.0
1637;470.0
1638;1200.0
1639;1198.54
1640;471.46
1641;1200.0
1642;470.0
1643;1200.0
1644;470.0
1645;1200.0
1646;470.0
1647;1200.0
1648;1198.54
1649;471.46
1650;1200.0
1651;470.0
1652;1200.0
1653;470.0
1654;1200.0
1655;470.0
1656;1200.0
1657;1198.54
1658;471.46
1659;1200.0
1660;470.0
1661;1200.0
1662;470.0
1663;1200.0
1664;470.0
1665;1200.0
1666;1198.54
1667;471.46
1668;1200.0
1669;470.0
1670;1200.0
1671;470.0
1672;1200.0
1673;470.0
1674;1200.0
1675;1198.54
1676;471.46
1677;1200.0
1678;470.0
1679;1200.0
1680;470.0
1681;1200.0
1682;470.0
1683;1200.0
1684;1198.54
1685;471.46
1686;1200.0
1687;470.0
1688;1200.0
1689;470.0
1690;1200.0
1691;470.0
1692;1200.0
1693;1198.54
1694;471.46
1695;1200.0
1696;470.0
1697;1200.0
1698;470.0
1699;1200.0
1700;470.0
1701;1200.0
1702;1198.54
1703;471.46
1704;1200.0
1705;470.0
1706;1200.0
1707;470.0
1708;1200.0
1709;470.0
1710;1200.0
1711;1198.54
1712;471.46
1713;1200.0
1714;470.0
1715;1200.0
1716;470.0
1717;1200.0
1718;470.0
1719;1200.0
1720;1198.54
1721;471.46
1722;1200.0
1723;470.0
1724;1200.0
1725;470.0
1726;1200.0
1727;470.0
1728;1200.0
1729;1198.54
1730;471.46
1731;1200.0
1732;470.0
1733;1200.0
1734;470.0
1735;1200.0
1736;470.0
1737;1200.0
1738;1198.54
1739;471.46
1740;1200.0
1741;470.0
1742;1200.0
1743;470.0
1744;1200.0
1745;470.0
1746;1200.0
1747;1198.54
1748;471.46
1749;1200.0
1750;470.0
1751;1200.0
1752;470.0
1753;1200.0
1754;470.0
1755;1200.0
1756;1198.54
1757;471.46
1758;1200.0
1759;470.0
1760;1200.0
1761;470.0
1762;1200.0
1763;470.0
1764;1200.0
1765;1198.54
1766;471.46
1767;1200.0
1768;470.0
1769;1200.0
1770;470.0
1771;1200.0
1772;470.0
1773;1200.0
1774;1198.54
1775;471.46
1776;1200.0
1777;470.0
1778;1200.0
1779;470.0
1780;1200.0
1781;470.0
1782;1200.0
1783;1198.54
1784;471.46
1785;1200.0
1786;470.0
1787;1200.0
1788;470.0
1789;1200.0
1790;470.0
1791;1200.0
1792;1198.54
1793;471.46
1794;1200.0
1795;470.0
1796;1200.0
1797;470.0
1798;1200.0
1799;470.0
1800;1200.0
1801;1198.54
1802;471.46
1803;1200.0
1804;470.0
1805;1200.0
1806;470.0
1807;1200.0
1808;470.0
1809;1200.0
1810;1198.54
1811;471.46
1812;1200.0
1813;470.0
1814;1200.0
1815;470.0
1816;1200.0
1817;470.0
1818;1200.0
1819;1198.54
1820;471.46
1821;1200.0
1822;470.0
1823;1200.0
1824;470.0
1825;1200.0
1826;470.0
1827;1200.0
1828;1198.54
1829;471.46
1830;1200.0
1831;470.0
1832;1200.0
1833;470.0
1834;1200.0
1835;470.0
1836;1200.0
1837;1198.54
1838;471.46
1839;1200.0
1840;470.0
1841;1200.0
1842;470.0
1843;1200.0
1844;470.0
1845;1200.0
1846;1198.54
1847;471.46
1848;1200.0
1849;470.0
1850;1200.0
1851;470.0
1852;1200.0
1853;470.0
1854;1200.0
1855;1198.54
1856;471.46
1857;1200.0
1858;470.0
1859;1200.0
1860;470.0
1861;1200.0
1862;470.0
1863;1200.0
1864;1198.54
1865;471.46
1866;1200.0
1867;470.0
1868;1200.0
1869;470.0
1870;1200.0
1871;470.0
1872;1200.0
